,Unnamed: 0,Title,Review,preprocessed CombinedString
389,389,Yet another superb stand-alone superhero flick in MCEU's kitty.,"Shang-Chi and the Legend of the Ten Rings (2021) : Brief Review -

Yet another superb stand-alone superhero flick in MCEU's kitty. MCEU's new phase never looked so promising but their products are delivering Better than expected. That Spider Man flick in 2019, right after Endgame, changed many perceptions about Marvel's future and even though couple of their recent series like 'Wanda Vision' and 'Loki' couldn't emerge as clear winners, they have set a solid base for upcoming new stories. Shang-Chi is a new start by all means. Not only because it comes under new phase but mainly because it is a stand-alone film and with a new superhero who is more like using traditional combat methods along with ancient superpowers. When Captain America or Black Panther begun as Stand-alone films, they promised too much and thankfully fulfilled it. Shang-Chi does the same. It may not promise too much like Steve Rogers and Wakanda stories but the point where it ends surely gives us hints of new assembled version of superheroes in Multiverse. Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization. The film has major portion covered by Family values and hence, it may look predictable but does not bore at all. Yes, few scenes are outdated and too dramatic as if we are watching a Superhero Film made in 90s but let's just forget those weak points as Shang Chi has excelled in Visual spectacle. The screenplay could have been better in the second half when the big War was supposed to take place but it actually looks tiny one except for those two humongous dragons which might remind you of 'The Hobbit'. Performances by Simu Li, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu are fine according to less potential available for the roles. Actually, the humour and tone of these characters was great. They all looked normal people when they were not fighting and even though the film has ancient refrences, the character don't actually go too deep to become expressive. Director Destin Daniel Cretton seemed slightly off track in the beginning when he tries to humanise all the characters with that typically teenage humor but as the film goes ahead, he recovers from the childish entanglement. With super explosive climax he surely makes up for his mistakes, rather makes us forgive it. Overall, Shang Chi is another superb entertainer for Marvel Fanboys and even neutrals are gonna enjoy it.

RATING - 7/10*

By - #samthebestest.","Shang-Chi and the Legend of the Ten Rings (2021) : Brief Review -

Yet another superb stand-alone superhero flick in MCEU's kitty. MCEU's new phase never looked so promising but their products are delivering Better than expected. That Spider Man flick in 2019, right after Endgame, changed many perceptions about Marvel's future and even though couple of their recent series like 'Wanda Vision' and 'Loki' couldn't emerge as clear winners, they have set a solid base for upcoming new stories. Shang-Chi is a new start by all means. Not only because it comes under new phase but mainly because it is a stand-alone film and with a new superhero who is more like using traditional combat methods along with ancient superpowers. When Captain America or Black Panther begun as Stand-alone films, they promised too much and thankfully fulfilled it. Shang-Chi does the same. It may not promise too much like Steve Rogers and Wakanda stories but the point where it ends surely gives us hints of new assembled version of superheroes in Multiverse. Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization. The film has major portion covered by Family values and hence, it may look predictable but does not bore at all. Yes, few scenes are outdated and too dramatic as if we are watching a Superhero Film made in 90s but let's just forget those weak points as Shang Chi has excelled in Visual spectacle. The screenplay could have been better in the second half when the big War was supposed to take place but it actually looks tiny one except for those two humongous dragons which might remind you of 'The Hobbit'. Performances by Simu Li, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu are fine according to less potential available for the roles. Actually, the humour and tone of these characters was great. They all looked normal people when they were not fighting and even though the film has ancient refrences, the character don't actually go too deep to become expressive. Director Destin Daniel Cretton seemed slightly off track in the beginning when he tries to humanise all the characters with that typically teenage humor but as the film goes ahead, he recovers from the childish entanglement. With super explosive climax he surely makes up for his mistakes, rather makes us forgive it. Overall, Shang Chi is another superb entertainer for Marvel Fanboys and even neutrals are gonna enjoy it.

RATING - 7/10*

By - #samthebestest."
390,390,This could've been great if it wasn't for the cheesy writing.,"The story was riddled with holes and plot issues. Since when does Awkwafina's pedestrian character all of a sudden get invited to become part of the MCU team? What's her super power... stupidity? Don't get me wrong, I love her, but her character was lazily written. Then there's the whole daddy issues dynamic - Shang is with him, then against, then with etc.. Then we have these ridiculous dragons fighting, where one scores some power crystals and becomes stronger! This is just infantile lazy writing. There was zero shock value or anything spectacular in the entire runtime, with tedious long middle acts and a bumbling third act. The jokes were cliched and not funny. The funniest parts were Ben Kingsley's character, (of whom was in this for what reasons??) and the ending to go Karaoke - which was the only time I actually cracked a chuckle. You'd think with three writers we'd have something cohesive and coherent. But instead of a Marvel superhero story, we got a Disney evil vs good with dragons thrown into the mix. It's as if they tried too hard to create the Asian version of Black Panther.

It's a shame, because the directing and cinematography were spot on, and great S/VFX - although a little overboard with the CGI i.e. Dragons. The martial arts choreography was outstanding (although again, overboard after the awesome bus scene), and the casting and performances were excellent, especially Leung, who pretty much carried the film on his shoulders. It's a 7/10 from me.","The story was riddled with holes and plot issues. Since when does Awkwafina's pedestrian character all of a sudden get invited to become part of the MCU team? What's her super power... stupidity? Don't get me wrong, I love her, but her character was lazily written. Then there's the whole daddy issues dynamic - Shang is with him, then against, then with etc.. Then we have these ridiculous dragons fighting, where one scores some power crystals and becomes stronger! This is just infantile lazy writing. There was zero shock value or anything spectacular in the entire runtime, with tedious long middle acts and a bumbling third act. The jokes were cliched and not funny. The funniest parts were Ben Kingsley's character, (of whom was in this for what reasons??) and the ending to go Karaoke - which was the only time I actually cracked a chuckle. You'd think with three writers we'd have something cohesive and coherent. But instead of a Marvel superhero story, we got a Disney evil vs good with dragons thrown into the mix. It's as if they tried too hard to create the Asian version of Black Panther.

It's a shame, because the directing and cinematography were spot on, and great S/VFX - although a little overboard with the CGI i.e. Dragons. The martial arts choreography was outstanding (although again, overboard after the awesome bus scene), and the casting and performances were excellent, especially Leung, who pretty much carried the film on his shoulders. It's a 7/10 from me."
391,391,8 Rings out of 10,"For the first time in a couple of years, since 2019's ""Captain Marvel"" the MCU introduces us to a brand new hero. Simu Liu who, rather impressively, first asked for the role on Twitter brings us Shang-Chi in a film that perhaps does have some issues with it's ending, but ultimately is a fun, funny ride of the type Marvel have been perfecting for the last 13 years.

Talented, but somewhat aimless, Shaun (Simu Liu) lives in San Francisco working as a valet with his friend Katy (Awkwafina). When he's attacked on a bus, he's forced back into the world of his father, a ruthless terrorist Xu Wenwu (Tony Chiu-Wai Leung). First visiting his sister, then returning to the Ten Rings compound, Shang-Chi decides to use his skills to defend his late mothers sacred homeland against invasion from his father and for control of ten mystical arm rings, weapons that grant their owner immortality and unearthly power.

If ""Black Widow"" was considered a wobble for the MCU, despite the fact I thought that it's a perfectly fine film, then it was important to come back with something that was undeniably excellent. ""Shang-Chi"" was that. It's the perfect balance of humour and action that Marvel have established over the last few years. The action too is tweaked slightly, to more closely resemble the types of Asian led action films that we've seen previously, be that the Jackie Chan style bus fight, or the ""Crouching Tiger, Hidden Dragon""-esque flashback fight between Shang Chi's parents. There's some lovely links to the wider MCU, including a return for Benedict Wong's Wong and for Trevor Slattery, Ben Kingsley's ""Iron Man 3"" character whose masquerading role as The Mandarin was one of the MCU's most divisive moments.

It's not perfect. The ending is perhaps a little rushed and lacking a moment or two of redemption earning for Xu Wenwu, but the peaks at the future for the character, and for the 10 Rings organisation is an interesting addition, plus our first real step on what might be the route to the next big bad. Excellent stuff.","For the first time in a couple of years, since 2019's ""Captain Marvel"" the MCU introduces us to a brand new hero. Simu Liu who, rather impressively, first asked for the role on Twitter brings us Shang-Chi in a film that perhaps does have some issues with it's ending, but ultimately is a fun, funny ride of the type Marvel have been perfecting for the last 13 years.

Talented, but somewhat aimless, Shaun (Simu Liu) lives in San Francisco working as a valet with his friend Katy (Awkwafina). When he's attacked on a bus, he's forced back into the world of his father, a ruthless terrorist Xu Wenwu (Tony Chiu-Wai Leung). First visiting his sister, then returning to the Ten Rings compound, Shang-Chi decides to use his skills to defend his late mothers sacred homeland against invasion from his father and for control of ten mystical arm rings, weapons that grant their owner immortality and unearthly power.

If ""Black Widow"" was considered a wobble for the MCU, despite the fact I thought that it's a perfectly fine film, then it was important to come back with something that was undeniably excellent. ""Shang-Chi"" was that. It's the perfect balance of humour and action that Marvel have established over the last few years. The action too is tweaked slightly, to more closely resemble the types of Asian led action films that we've seen previously, be that the Jackie Chan style bus fight, or the ""Crouching Tiger, Hidden Dragon""-esque flashback fight between Shang Chi's parents. There's some lovely links to the wider MCU, including a return for Benedict Wong's Wong and for Trevor Slattery, Ben Kingsley's ""Iron Man 3"" character whose masquerading role as The Mandarin was one of the MCU's most divisive moments.

It's not perfect. The ending is perhaps a little rushed and lacking a moment or two of redemption earning for Xu Wenwu, but the peaks at the future for the character, and for the 10 Rings organisation is an interesting addition, plus our first real step on what might be the route to the next big bad. Excellent stuff."
392,392,Perfectly fine,"Action great (except cacophonous dragon fight), acting decent, visuals good, story predictable...the whole this is fine, but I have a more pressing matter to address here. I have yet to watch an MCU movie and felt like I got enough Wong. More Wong. Always more Wong.","Action great (except cacophonous dragon fight), acting decent, visuals good, story predictable...the whole this is fine, but I have a more pressing matter to address here. I have yet to watch an MCU movie and felt like I got enough Wong. More Wong. Always more Wong."
393,393,Finally a Chinese superhero film from Marvel,,
394,394,More of the same from the hyperactive Marvell/Disney CGI-verse,"Shang-Chi (Simu Liu) discovers that his all-powerful and millennium-old father is about to launch an attack against the magical village where Shang-Chi's mother was born in the likely mistaken belief that his wife is not dead but is rather being held captive (there is more to the plot than one sentence can sum up but what does it matter... the story is just scaffolding for the special effects). Much fighting ensues but fortunately everyone eventually learns how to 'get along' when faced with a real threat. You have seen it all before: physics-defying martial arts, monsters who look like the recently swallowed strings of LED Christmas lights, conflicted heroes with wise-cracking 'comic relief' sidekicks (an awful Aquafina and an even more awful Ben Kingsley), giant melees featuring a variety of glowing weapons (but no blood), hyper-kinetic and hyper-implausible car/motorcycle chases, and a lot of clichéd wisecracks, tough-guy dialogue, poseur slo-mo, and heroic vogueing (we're treated to the venerable three-point power landing/slide a number of times). The only novel thing the film has to offer is the excellent rendering of mythological beasts from Chinese culture; otherwise, it's an overly-long (132 minutes, which is 120 minutes too much Aquafina), derivative, repetitive, and ultimately boring entry in the bloated, jejune Micky Mouse-Marvel superhero franchise.","Shang-Chi (Simu Liu) discovers that his all-powerful and millennium-old father is about to launch an attack against the magical village where Shang-Chi's mother was born in the likely mistaken belief that his wife is not dead but is rather being held captive (there is more to the plot than one sentence can sum up but what does it matter... the story is just scaffolding for the special effects). Much fighting ensues but fortunately everyone eventually learns how to 'get along' when faced with a real threat. You have seen it all before: physics-defying martial arts, monsters who look like the recently swallowed strings of LED Christmas lights, conflicted heroes with wise-cracking 'comic relief' sidekicks (an awful Aquafina and an even more awful Ben Kingsley), giant melees featuring a variety of glowing weapons (but no blood), hyper-kinetic and hyper-implausible car/motorcycle chases, and a lot of clichéd wisecracks, tough-guy dialogue, poseur slo-mo, and heroic vogueing (we're treated to the venerable three-point power landing/slide a number of times). The only novel thing the film has to offer is the excellent rendering of mythological beasts from Chinese culture; otherwise, it's an overly-long (132 minutes, which is 120 minutes too much Aquafina), derivative, repetitive, and ultimately boring entry in the bloated, jejune Micky Mouse-Marvel superhero franchise."
395,395,Promises good things for MCU's Phase Four,"Shang-Chi and the Legend of the Ten Rings stars Simu Liu in the lead role alongside such heavy names as Tony Leung and Michelle Yeoh in this latest installment to the Marvel Cinematic Universe. Liu's Shang-Chi must come to his own as the son of the legendary Mandarin (Leung), the owner of the Ten Rings.

I like this film's style most of all. Director Destin Daniel Cretton mixes Chinese wuxia settings and aesthetics with Hong Kong wire kung fu inspired action set pieces, while still keeping it feeling like a Marvel film. There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.

Kudos also to the whole filming for these action scenes. Very little shaky cam or jump cuts, especially for the hand to hand scenes. Exactly as it should be. I'd dare to say that this film has some of, if not the best action set pieces in all of MCU.

One of the most thrilling and visually spectacular end battles as well, come to think of it.

Furthermore, the acting is solid, especially from Liu, Leung and Awkwafina, who plays Shang-Chi's American friend. Meng'er Zhang as Xialing, Shang-Chi's younger sister, was perhaps my only real gripe with the film. I could have used either a bit more edge to her or alternatively a lot less. Now she seemed to flipflop between relatable and aggravating.

All in all, not the best Marvel movie by any means, but that's a really high bar to clear. I can simply say that based on this, I'm very optimistic about MCU's continued future.","Shang-Chi and the Legend of the Ten Rings stars Simu Liu in the lead role alongside such heavy names as Tony Leung and Michelle Yeoh in this latest installment to the Marvel Cinematic Universe. Liu's Shang-Chi must come to his own as the son of the legendary Mandarin (Leung), the owner of the Ten Rings.

I like this film's style most of all. Director Destin Daniel Cretton mixes Chinese wuxia settings and aesthetics with Hong Kong wire kung fu inspired action set pieces, while still keeping it feeling like a Marvel film. There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.

Kudos also to the whole filming for these action scenes. Very little shaky cam or jump cuts, especially for the hand to hand scenes. Exactly as it should be. I'd dare to say that this film has some of, if not the best action set pieces in all of MCU.

One of the most thrilling and visually spectacular end battles as well, come to think of it.

Furthermore, the acting is solid, especially from Liu, Leung and Awkwafina, who plays Shang-Chi's American friend. Meng'er Zhang as Xialing, Shang-Chi's younger sister, was perhaps my only real gripe with the film. I could have used either a bit more edge to her or alternatively a lot less. Now she seemed to flipflop between relatable and aggravating.

All in all, not the best Marvel movie by any means, but that's a really high bar to clear. I can simply say that based on this, I'm very optimistic about MCU's continued future."
396,396,The Master of kung fu was really good but not as good as I wanted it to be.,"It was better than the proceeding Marvel movie Black Window. More exceeding the expectations of a Marvel movie. Shang-Chi feels like the marvel movie experience is starting to get back to the normal of the theme ride Martian Scorsese believes they are (I can't disagree, just note that's what I want)

In comparison Shang-Chi is a lower level character. I am a fan of Marvel comics but got more of the references to the Marvel Cinematic Universe in this movie than to the direct comic book references. Those Marvel cinematic universe references were amazing enough to get over the fact that the obvious comic book ones went over my head. I mean this movie's connection to other movies is great fanfare that makes me love it more. So really cool cameos happen that actually move the story along.

I did like what they did with the Mandarin here but do feel they copied and paste a lot of things into the story of Shang-Chi to make a complete movie for a lower level character. From the little I know of the character he more fits into those Netflix's shows they did a few years back but change him enough to justify a blockbuster.

They did succeed in making Shang-Chi's background more fuller. The relationship between him and his father and sister was beautiful, complex and more importantly, never bored me and of course Awkafina as the comedy relief and best friend to Shang-Chi was strategic gold. The story for the background was not that full. It's really a character driven movie for without the amazing performances from a group of actors who know their stuff this story would fall short.

Note, I loved the fact that Michelle Yeoh was in this movie and that gives it a lot, but she's done way better in less effective films (but she most likely got a huge paycheck from Disney just to wave her hands around).

The special effects were good in this flick. I was impress with what was used to make the final conflict and I was convince that the dude from Kim's Convenience was a master of kung fu

Its a good movie but it did not live up to my high expectations of it. It gave me a lot of cool things but really did not give me anything I did not see before, in movies that did it better, but if it's about anything I did spend the rest of the day pretending I knew Kung fu.","It was better than the proceeding Marvel movie Black Window. More exceeding the expectations of a Marvel movie. Shang-Chi feels like the marvel movie experience is starting to get back to the normal of the theme ride Martian Scorsese believes they are (I can't disagree, just note that's what I want)

In comparison Shang-Chi is a lower level character. I am a fan of Marvel comics but got more of the references to the Marvel Cinematic Universe in this movie than to the direct comic book references. Those Marvel cinematic universe references were amazing enough to get over the fact that the obvious comic book ones went over my head. I mean this movie's connection to other movies is great fanfare that makes me love it more. So really cool cameos happen that actually move the story along.

I did like what they did with the Mandarin here but do feel they copied and paste a lot of things into the story of Shang-Chi to make a complete movie for a lower level character. From the little I know of the character he more fits into those Netflix's shows they did a few years back but change him enough to justify a blockbuster.

They did succeed in making Shang-Chi's background more fuller. The relationship between him and his father and sister was beautiful, complex and more importantly, never bored me and of course Awkafina as the comedy relief and best friend to Shang-Chi was strategic gold. The story for the background was not that full. It's really a character driven movie for without the amazing performances from a group of actors who know their stuff this story would fall short.

Note, I loved the fact that Michelle Yeoh was in this movie and that gives it a lot, but she's done way better in less effective films (but she most likely got a huge paycheck from Disney just to wave her hands around).

The special effects were good in this flick. I was impress with what was used to make the final conflict and I was convince that the dude from Kim's Convenience was a master of kung fu

Its a good movie but it did not live up to my high expectations of it. It gave me a lot of cool things but really did not give me anything I did not see before, in movies that did it better, but if it's about anything I did spend the rest of the day pretending I knew Kung fu."
397,397,Shang-Chi and the Legend of the Ten Rings,"6/10 - I seem to be the only one to not be marveling at the latest Marvel Studios offering, but while this movie is technically sound (visual effects, stunt work, sound, cinematography, you name it), I found it to be mostly a rehash of things I've seen before (maybe I'm just getting tired of all these superhero movies)","6/10 - I seem to be the only one to not be marveling at the latest Marvel Studios offering, but while this movie is technically sound (visual effects, stunt work, sound, cinematography, you name it), I found it to be mostly a rehash of things I've seen before (maybe I'm just getting tired of all these superhero movies)"
398,398,Finally a new kind of marvel story,,
399,399,An easy watch that fits into the MCU well,"A San Francisco valet finds his past catching up with him in spectacular fashion.

This is an entertaining superhero adventure story with an Asian martial arts theme and a number of entertaining scenes.

Like many introductions to superhero characters there is a bit of backstory to go through and this film does it with flashback sequences in a similar way to 'Black Panther'. These are mixed with the action, humour and unfolding narrative of the present day plot. Additionally there is some important exposition added relating to the Marvel multiverse. Personally I think everything depicted could have been done in more than one movie, and not so rushed, but that's just a personal preference. What is presented is not complicated in anyway, but very simplified, presumably so that it can be established quickly and the likes of Shang-Chi and Katy can share screens with other MCU characters as soon as possible.

The tone and general feel of the movie also reminds me of the approach taken with 'Black Panther', particularly when it focusses on a location that, like Wakanda, mixes the sights and sounds of regional culture with the sci-fi fantasy. It has obviously been written carefully so that it displays imagery associated with far-Eastern culture like martial arts, traditional costuming, rural settings, that is marketable to a Western audience, but at the same time it avoids other commonly associated negative stereotyping like exaggerated accents, sorcery, yellow peril, bad driving, and (thankfully) gong sounds. Much of this is drenched with a liberal amount of fast-talking contemporary American humour.

There are a number of highly enjoyable scenes such as the fight sequence on the bus, the various comedy moments, virtually everything that comes out of Ben Kingsley's mouth, and all the flashback scenes. The final dinner table scene is probably my favourite.

Visually as you can imagine it is beautiful and full of top drawer cinematography, editing, and technology-driven effects. For me though the spectacle goes over-the-top, particularly in the final action sequence.

Most actors are solid such as Simu Liu, Tony Leung, Meng'er Zhang, Michelle Yeoh, Fala Chen, and Benedict Wong. The standout performances for me easily are Nora Lum and Ben Kingsley who have buckets of charisma and the advantage of all the best lines.

Overall there is little to criticise, it just feels like what Martin Scorsese described perfectly in 2019 as a theme park rather than cinema.","A San Francisco valet finds his past catching up with him in spectacular fashion.

This is an entertaining superhero adventure story with an Asian martial arts theme and a number of entertaining scenes.

Like many introductions to superhero characters there is a bit of backstory to go through and this film does it with flashback sequences in a similar way to 'Black Panther'. These are mixed with the action, humour and unfolding narrative of the present day plot. Additionally there is some important exposition added relating to the Marvel multiverse. Personally I think everything depicted could have been done in more than one movie, and not so rushed, but that's just a personal preference. What is presented is not complicated in anyway, but very simplified, presumably so that it can be established quickly and the likes of Shang-Chi and Katy can share screens with other MCU characters as soon as possible.

The tone and general feel of the movie also reminds me of the approach taken with 'Black Panther', particularly when it focusses on a location that, like Wakanda, mixes the sights and sounds of regional culture with the sci-fi fantasy. It has obviously been written carefully so that it displays imagery associated with far-Eastern culture like martial arts, traditional costuming, rural settings, that is marketable to a Western audience, but at the same time it avoids other commonly associated negative stereotyping like exaggerated accents, sorcery, yellow peril, bad driving, and (thankfully) gong sounds. Much of this is drenched with a liberal amount of fast-talking contemporary American humour.

There are a number of highly enjoyable scenes such as the fight sequence on the bus, the various comedy moments, virtually everything that comes out of Ben Kingsley's mouth, and all the flashback scenes. The final dinner table scene is probably my favourite.

Visually as you can imagine it is beautiful and full of top drawer cinematography, editing, and technology-driven effects. For me though the spectacle goes over-the-top, particularly in the final action sequence.

Most actors are solid such as Simu Liu, Tony Leung, Meng'er Zhang, Michelle Yeoh, Fala Chen, and Benedict Wong. The standout performances for me easily are Nora Lum and Ben Kingsley who have buckets of charisma and the advantage of all the best lines.

Overall there is little to criticise, it just feels like what Martin Scorsese described perfectly in 2019 as a theme park rather than cinema."
400,400,Marvel continues to be ambitious despite some faults,"Eluding his difficult past, a young man from China has been content playing it safe in San Francisco for the past several years even though he lacks a true sense of self. But when drastic circumstances draw him back to his conspicuous origins, he has no choice but to face his demons head on. Continuing to expand its cultural horizon the MCU's first Asian-centric movie has unique choreography, a dazzling visual scheme, splendid hand-to-hand combat, and of course the expected teases going forward, but some of the more elaborate action set pieces lack needed tension, much of the exposition and backstory isn't very engaging, and up until the third act many of the emotional aspects of the narrative aren't as rich or compelling as they could be. Some of the humor is strained, but it's efficiently cast and provides enough to be a distinctive entry into the Marvel world. **½","Eluding his difficult past, a young man from China has been content playing it safe in San Francisco for the past several years even though he lacks a true sense of self. But when drastic circumstances draw him back to his conspicuous origins, he has no choice but to face his demons head on. Continuing to expand its cultural horizon the MCU's first Asian-centric movie has unique choreography, a dazzling visual scheme, splendid hand-to-hand combat, and of course the expected teases going forward, but some of the more elaborate action set pieces lack needed tension, much of the exposition and backstory isn't very engaging, and up until the third act many of the emotional aspects of the narrative aren't as rich or compelling as they could be. Some of the humor is strained, but it's efficiently cast and provides enough to be a distinctive entry into the Marvel world. **½"
401,401,On A Dark Desert Highway.....,,
402,402,"Surprisingly funny, intense, dope, and touching! Really should watch it! Well done!",,
403,403,"Mobile trees, magic rings, threatening dragons . . .",,
404,404,Shang-Chi and the Legend of the Ten Rings,"Car valet (Liu) and his friend are attacked by warriors working for his father who is a 1,000 year old owner of the 10 rings which gives him phenomenal powers. He and his sister are eventually captured by their father who reveals what his strange intentions are and how they fit in.

Wonderful action packed fantasy adventure is brilliantly bought to life by a great cast and some great action sequences including some staggeringly beautiful fantasy scenes. Extraordinary how this almost child like fantasy film can so successfully bridge a chase scene across modern day San Francisco with battles with dragons whilst maintaining a goodly degree of drama snd humour. Huge fun.","Car valet (Liu) and his friend are attacked by warriors working for his father who is a 1,000 year old owner of the 10 rings which gives him phenomenal powers. He and his sister are eventually captured by their father who reveals what his strange intentions are and how they fit in.

Wonderful action packed fantasy adventure is brilliantly bought to life by a great cast and some great action sequences including some staggeringly beautiful fantasy scenes. Extraordinary how this almost child like fantasy film can so successfully bridge a chase scene across modern day San Francisco with battles with dragons whilst maintaining a goodly degree of drama snd humour. Huge fun."
405,405,Marvel Sprinkles a Different Flavor into the MCU,"Marvel gets mystical in this mashup of the plucky, familiar MCU character and the more stoic, legend-heavy air of wuxia films. It's a fresh mix, effectively breaking the gravity of its more serious moments with a well-timed jape while lending credence and lore to a lesser-known corner of the comic kingdom, but these crossover moments sometimes test their limits. I could see more grounded viewers being turned off by the dragons and soul-sucking demons (far cry from the feasible reality of the first Iron Man, that) while serious fans of Chinese fantasy are bucked by the constant injection of loose wit and slappy one-liners.

When it's rolling, Shang Chi does manage to toe that line and deliver something appropriately new and versatile, a good reflection of both worlds. It benefits from a tight pair of central performances (Simu Liu and Awkwafina as a team of underachieving twenty-somethings) and several big, powerful action sets (the articulated bus fight might be one of the best combat scenes Marvel's ever put out) while tying in a dangling thread or two from earlier films to provide a sense of greater connection. On several occasions, however, it's guilty of being too self-indulgent and losing the narrative. It's great to see Ben Kingsley again, adding nuance to his part in Iron Man 3, but his scenes are the main offender here; excessive and distracting and way too cute.

The action is strong, the dialogue (mostly) works, the scenery looks great, but in the big picture, Shang Chi feels small-scale and disposable. Non-completionists won't miss anything crucial if they choose to skip it.","Marvel gets mystical in this mashup of the plucky, familiar MCU character and the more stoic, legend-heavy air of wuxia films. It's a fresh mix, effectively breaking the gravity of its more serious moments with a well-timed jape while lending credence and lore to a lesser-known corner of the comic kingdom, but these crossover moments sometimes test their limits. I could see more grounded viewers being turned off by the dragons and soul-sucking demons (far cry from the feasible reality of the first Iron Man, that) while serious fans of Chinese fantasy are bucked by the constant injection of loose wit and slappy one-liners.

When it's rolling, Shang Chi does manage to toe that line and deliver something appropriately new and versatile, a good reflection of both worlds. It benefits from a tight pair of central performances (Simu Liu and Awkwafina as a team of underachieving twenty-somethings) and several big, powerful action sets (the articulated bus fight might be one of the best combat scenes Marvel's ever put out) while tying in a dangling thread or two from earlier films to provide a sense of greater connection. On several occasions, however, it's guilty of being too self-indulgent and losing the narrative. It's great to see Ben Kingsley again, adding nuance to his part in Iron Man 3, but his scenes are the main offender here; excessive and distracting and way too cute.

The action is strong, the dialogue (mostly) works, the scenery looks great, but in the big picture, Shang Chi feels small-scale and disposable. Non-completionists won't miss anything crucial if they choose to skip it."
406,406,Shang-Chi and the Legend of the Ten Rings(2021),"Bringing martial arts into this franchise is well.... a breath of fresh air from Marvel. Showcasing a series of excellent action sequences. There are some very intelligent minds be hide this origin story fantasy sci-fi feature. Shang-Chi and the Legend of the Ten Rings is one of the best MCU films. Pro-tip, at some point in your lives seek this gem out ! This is going to be very solid UHD HDR blu-ray and the 3D is very impressive albeit some minor cross-talk but forgivable as the are some very intricate set pieces for the left and right eye to navigate via the post conversion 3D. Very well done over all.

The visuals were absolutely stunning, comedic relief was always on point, fight sequences were sleek yet powerful. The story arch is well paced and unfolds gradually so one can get emotionally involved with the films characters , the acting is superb on all fronts from the films talented ensemble . The directing and pacing is spot on.

Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.","Bringing martial arts into this franchise is well.... a breath of fresh air from Marvel. Showcasing a series of excellent action sequences. There are some very intelligent minds be hide this origin story fantasy sci-fi feature. Shang-Chi and the Legend of the Ten Rings is one of the best MCU films. Pro-tip, at some point in your lives seek this gem out ! This is going to be very solid UHD HDR blu-ray and the 3D is very impressive albeit some minor cross-talk but forgivable as the are some very intricate set pieces for the left and right eye to navigate via the post conversion 3D. Very well done over all.

The visuals were absolutely stunning, comedic relief was always on point, fight sequences were sleek yet powerful. The story arch is well paced and unfolds gradually so one can get emotionally involved with the films characters , the acting is superb on all fronts from the films talented ensemble . The directing and pacing is spot on.

Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied."
407,407,A Cinematic Masterpiece...,"If you only ever watched one movie at the cinema in your entire span of days, make it this phenomenal sight, sound and super spectacular sensory sensation. Smashes everything out of the park! And some.","If you only ever watched one movie at the cinema in your entire span of days, make it this phenomenal sight, sound and super spectacular sensory sensation. Smashes everything out of the park! And some."
